timestamp,responseTime,criteria
2019-04-01 20:01:41.162404,19.579834,Baseline
2019-04-01 20:02:03.977262,22.803307,Baseline
2019-04-01 20:02:21.941832,17.954925,Baseline
2019-04-01 20:02:40.375882,18.429352,Baseline
2019-04-01 20:02:57.656956,17.266335,Baseline
2019-04-01 20:03:16.496649,18.830686,Baseline
2019-04-01 20:03:47.155319,30.647135,Baseline
2019-04-01 20:04:05.637952,18.470865,Baseline
2019-04-01 20:04:25.641972,19.999448,Baseline
2019-04-01 20:04:45.946877,20.297914,Baseline
2019-04-01 20:05:03.268184,17.315982,Baseline
2019-04-01 20:05:21.176602,17.89845,Baseline
2019-04-01 20:05:38.493444,17.309355,Baseline
2019-04-01 20:05:58.246542,19.748144,Baseline
2019-04-01 20:06:17.709789,19.458366,Baseline
2019-04-01 20:06:35.069882,17.352893,Baseline
2019-04-01 20:06:52.678362,17.601228,Baseline
2019-04-01 20:07:12.136738,19.451116,Baseline
2019-04-01 20:07:29.747719,17.605382,Baseline
2019-04-01 20:07:46.316377,16.562656,Baseline
2019-04-01 20:08:04.656849,18.335526,Baseline
2019-04-01 20:08:23.752053,19.09059,Baseline
2019-04-01 20:08:41.654714,17.898021,Baseline
2019-04-01 20:09:00.144723,18.484656,Baseline
2019-04-01 20:09:18.136680,17.986379,Baseline
2019-04-01 20:11:22.456202,18.446206,CPU Usage
2019-04-01 20:11:38.930511,16.469552,CPU Usage
2019-04-01 20:12:03.503617,24.5689,CPU Usage
2019-04-01 20:12:22.353163,18.843375,CPU Usage
2019-04-01 20:12:39.688122,17.330377,CPU Usage
2019-04-01 20:12:59.302141,19.607264,CPU Usage
2019-04-01 20:13:18.196152,18.885552,CPU Usage
2019-04-01 20:13:35.071075,16.869856,CPU Usage
2019-04-01 20:13:52.766429,17.691312,CPU Usage
2019-04-01 20:14:11.422650,18.651156,CPU Usage
2019-04-01 20:14:31.240282,19.813764,CPU Usage
2019-04-01 20:14:48.117258,16.87091,CPU Usage
2019-04-01 20:15:08.019659,19.898505,CPU Usage
2019-04-01 20:15:30.781672,22.756419,CPU Usage
2019-04-01 20:15:52.073487,21.265368,CPU Usage
2019-04-01 20:16:11.921679,19.840037,CPU Usage
2019-04-01 20:16:31.380386,19.448817,CPU Usage
2019-04-01 20:16:49.930060,18.543119,CPU Usage
2019-04-01 20:17:08.850176,18.915044,CPU Usage
2019-04-01 20:17:28.385164,19.528243,CPU Usage
2019-04-01 20:17:47.302447,18.913705,CPU Usage
2019-04-01 20:18:07.651765,20.342496,CPU Usage
2019-04-01 20:18:26.128722,18.470615,CPU Usage
2019-04-01 20:18:44.105874,17.973144,CPU Usage
2019-04-01 20:19:03.619957,19.507487,CPU Usage
2019-04-01 20:25:54.003267,21.861211,Memory Usage
2019-04-01 20:26:17.043439,23.023906,Memory Usage
2019-04-01 20:26:38.710389,21.659988,Memory Usage
2019-04-01 20:27:00.179103,21.459262,Memory Usage
2019-04-01 20:27:21.254145,21.071162,Memory Usage
2019-04-01 20:27:45.788300,24.528657,Memory Usage
2019-04-01 20:28:15.989893,30.19486,Memory Usage
2019-04-01 20:28:37.599195,21.578915,Memory Usage
2019-04-01 20:28:56.556604,18.938322,Memory Usage
2019-04-01 20:29:16.393495,19.818648,Memory Usage
2019-04-01 20:29:34.710903,18.313526,Memory Usage
2019-04-01 20:29:54.315378,19.599938,Memory Usage
2019-04-01 20:30:14.139854,19.818723,Memory Usage
2019-04-01 20:30:32.655400,18.510179,Memory Usage
2019-04-01 20:30:55.241730,22.574825,Memory Usage
2019-04-01 20:31:15.024187,19.773672,Memory Usage
2019-04-01 20:31:33.977924,18.947481,Memory Usage
2019-04-01 20:31:53.670346,19.685632,Memory Usage
2019-04-01 20:32:14.159327,20.48162,Memory Usage
2019-04-01 20:32:32.916275,18.750955,Memory Usage
2019-04-01 20:32:52.171537,19.251217,Memory Usage
2019-04-01 20:33:11.201051,19.024889,Memory Usage
2019-04-01 20:33:30.640139,19.432364,Memory Usage
2019-04-01 20:33:50.226883,19.581312,Memory Usage
2019-04-01 20:34:09.308182,19.074717,Memory Usage
2019-04-01 20:37:13.387930,27.565634,Uptime
2019-04-01 20:37:30.987929,17.588027,Uptime
2019-04-01 20:37:55.440090,24.443921,Uptime
2019-04-01 20:38:14.658822,19.210325,Uptime
2019-04-01 20:38:35.816986,21.149964,Uptime
2019-04-01 20:38:56.107389,20.283284,Uptime
2019-04-01 20:39:15.471118,19.357191,Uptime
2019-04-01 20:39:32.087834,16.612807,Uptime
2019-04-01 20:39:51.718096,19.625248,Uptime
2019-04-01 20:40:09.908817,18.185561,Uptime
2019-04-01 20:40:29.851263,19.937567,Uptime
2019-04-01 20:40:50.691449,20.828681,Uptime
2019-04-01 20:41:08.641675,17.940349,Uptime
2019-04-01 20:41:27.721897,19.073978,Uptime
2019-04-01 20:41:44.660185,16.933228,Uptime
2019-04-01 20:42:03.611703,18.945959,Uptime
2019-04-01 20:42:24.177944,20.558646,Uptime
2019-04-01 20:42:46.612270,22.42847,Uptime
2019-04-01 20:43:09.200064,22.577566,Uptime
2019-04-01 20:43:37.992905,28.786143,Uptime
2019-04-01 20:44:02.244090,24.243706,Uptime
2019-04-01 20:44:22.422906,20.171443,Uptime
2019-04-01 20:44:44.841618,22.357016,Uptime
2019-04-01 20:45:09.378078,24.531624,Uptime
2019-04-01 20:45:29.369600,19.985122,Uptime
